experiment,arm,payload_regime,channel_family,condition,trials,capacity_success_rate,geometry_success_rate,exact_recover_rate,robust_recover_rate,decoder_wrong_output_rate,authenticated_false_acceptance_rate,substitution_replay,structure_recovery_rate,data_recovery_rate,diagnostic_accuracy_mean,localization_ms_mean,symbol_decode_ms_mean,ecc_ms_mean,authentication_ms_mean,total_decode_ms_mean
equal_area,aztec,small,photo_recompress,photo_a30_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.303433327858026,4.023666658516352,0.0,0.22336666006594896,12.337899999693036
equal_area,aztec,small,scale,scale_100,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,,8.808166671466703,3.1117666706753275,0.0,0.2432999996623645,12.930966671168184
equal_area,aztec,small,scale,scale_25,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,7.155866672595342,3.898899992539858,0.0,0.16466666905519864,12.016933333749572
equal_area,aztec,small,scale,scale_50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.531766674015671,3.7537333361494043,0.0,0.17099999240599573,11.182033330745375
equal_area,aztec,small,scale,scale_75,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,,6.78620000447457,3.751699987333268,0.0,0.1470333275695642,11.415466666221619
equal_area,custom_grid,large,colorspace_gamma,cool_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.213766666206842,0.4137666740765174,233.2466333367241,0.17473333476421735,243.77556666149758
equal_area,custom_grid,large,colorspace_gamma,gamma_070,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.31573333319587,0.37943333154544234,217.6462999971894,0.16083332593552768,228.02763332341178
equal_area,custom_grid,large,colorspace_gamma,gamma_140,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.84326666709967,0.40573331837852794,232.17850000946783,0.1472000052065899,243.237733336476
equal_area,custom_grid,large,colorspace_gamma,warm_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.444433333352208,0.4291666652231167,222.63590000026548,0.1637666622021546,233.2305000066602
equal_area,custom_grid,large,grayscale,grayscale,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.9252333380281925,0.34993333004725474,236.17913333388665,0.1373999984934926,246.05623333870122
equal_area,custom_grid,large,identity,identity,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.316799998283386,0.4159666520232956,220.73466665460728,0.14866667333990335,231.34526666641855
equal_area,custom_grid,large,jpeg,jpeg_q30,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.487800010091936,0.36813333281315863,232.86383333227909,0.14409999130293727,243.43256664966853
equal_area,custom_grid,large,jpeg,jpeg_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,9.108700003707781,0.4078000007818143,224.1677000032117,0.15236667240969837,235.41929999676844
equal_area,custom_grid,large,jpeg,jpeg_q65,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.313466678373516,0.42266666423529387,226.54523332797302,0.13986667424129942,237.09006667680418
equal_area,custom_grid,large,jpeg,jpeg_q80,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.953333337558433,0.3889333359741916,216.8423666638167,0.17266667176348469,228.01746667634384
equal_area,custom_grid,large,jpeg,jpeg_q95,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.756433341962596,0.427433328392605,221.07193332825167,0.16466666905519864,232.10406666233516
equal_area,custom_grid,large,photo_recompress,photo_a0_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.458533334002519,0.37106665937850875,247.6164333250684,0.1405000026958684,258.04780000665534
equal_area,custom_grid,large,photo_recompress,photo_a0_dark_q50,3,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,n/a,1.0,0.3333333333333333,0.8560773488910026,8.847166667692363,0.5118333210702986,471.78433333950426,0.06236665649339557,482.8555666511723
