experiment,arm,payload_regime,payload_bytes,envelope_bytes,channel_family,condition,repetition,seed,capacity_ok,geometry_ok,build_error,native_ecc,protected_redundancy_ratio,logical_width_modules,logical_height_modules,module_px,min_module_mm,allocated_area_mm2,symbol_area_mm2,effective_capacity_bytes_per_mm2,capture_width_px,capture_height_px,decode_budget_ms,structure_data_independent,exact_recover,robust_recover,decoder_wrong_output,authenticated_false_acceptance,substitution_replay,structure_recovered,data_recovered,diagnostic_accuracy,localization_ms,symbol_decode_ms,ecc_ms,authentication_ms,total_decode_ms,decode_within_budget,output_bytes,notes
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_normal_q50,1,1061060710313614306,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.242200023029,1.867300015874207,0.0,0.2429999876767397,10.122599982423708,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_normal_q50,2,8771595802519357786,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.035200018435717,1.6024000069592148,0.0,0.21440000273287296,9.52390002203174,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_bright_q50,0,16607350760339494650,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.756599992513657,1.5416000096593052,0.0,0.14109999756328762,9.218000021064654,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_bright_q50,1,1782263319212642465,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.3293999992311,1.2179000186733902,0.0,0.1351999817416072,8.38729998213239,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a15_bright_q50,2,17849742300701196636,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.705600011628121,1.1539000261109322,0.0,0.14069999451749027,8.718399971257895,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_dark_q50,0,14958778436582472230,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.242600007681176,1.1331000132486224,0.0,0.1373999984934926,8.184200007235631,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_dark_q50,1,16681517226355288189,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,5.746399983763695,1.1995999957434833,0.0,0.13679999392479658,7.815299992216751,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_dark_q50,2,7034331085751523420,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.220700015546754,1.3018999889027327,0.0,0.16429999959655106,8.427799999481067,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_normal_q50,0,13866376553684297330,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.996999989496544,1.7841999942902476,0.0,0.2567000046838075,9.825699991779402,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_normal_q50,1,482169962028302387,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.800400005886331,1.7651999951340258,0.0,0.23060000967234373,9.49560001026839,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_normal_q50,2,2531918453491457550,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.974400010425597,1.2587000092025846,0.0,0.1534000039100647,10.113099997397512,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_bright_q50,0,9783793060238467292,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.496500009438023,1.7958999960683286,0.0,0.16060000052675605,10.2852999989409,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_bright_q50,1,13176149463563810125,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,8.036799990804866,1.57940000644885,0.0,0.21120000747032464,10.633700003381819,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a30_bright_q50,2,8578456293296519853,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.982300012372434,1.6522000078111887,0.0,0.1923999807331711,10.57709997985512,1,584,
equal_area,qr_L,small,512,584,grayscale,grayscale,0,3280738077708602836,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.295900006080046,1.4651000092271715,0.0,0.14859999646432698,8.673000003909692,1,584,
equal_area,qr_L,small,512,584,grayscale,grayscale,1,9268658492008153403,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,5.91310000163503,1.626700017368421,0.0,0.21490000654011965,8.489200001349673,1,584,
